_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	121	"TEST"	12.0487	0	0.0591328	0.835848	0	50	0.02	0.02	0	1	0	1	0	0	1.04138	0.861689
_D:	0	122	"TEST"	11.8252	0	0.0582282	0.840625	0	50	0.03	0.02	0	1	0	1	0	0	1.03772	0.857331
_D:	0	123	"TEST"	11.7436	0	0.0577622	0.841308	0	50	0.02	0.02	0	1	0	1	0	0	1.03459	0.854239
_D:	0	124	"TEST"	11.729	0	0.057712	0.84136	0	50	0.01	0.02	0	1	0	1	0	0	1.0384	0.861709
_D:	0	125	"TEST"	11.2892	0	0.0566383	0.850086	0	50	0.02	0.02	0	1	0	1	0	0	1.03065	0.859373
_D:	0	126	"TEST"	11.5363	0	0.0583745	0.847668	0	50	0.02	0.02	0	1	0	1	0	0	1.01749	0.850882
_D:	0	127	"TEST"	11.3193	0	0.0565378	0.847016	0	50	0.02	0.02	0	1	0	1	0	0	1.04032	0.861471
_D:	0	128	"TEST"	11.6506	0	0.0578993	0.843219	0	50	0.03	0.03	0	1	0	1	0	0	1.03151	0.85535
_D:	0	129	"TEST"	12.0515	0	0.0591603	0.83823	0	50	0.03	0.02	0	1	0	1	0	0	1.01622	0.848198
_D:	0	130	"TEST"	11.6167	0	0.0582511	0.844873	0	50	0.02	0.02	0	1	0	1	0	0	1.02945	0.852752
_D:	0	131	"TEST"	11.2066	0	0.0570952	0.849734	0	50	0.02	0.02	0	1	0	1	0	0	1.05201	0.862415
_D:	0	132	"TEST"	11.78	0	0.0577668	0.84116	0	50	0.02	0.02	0	1	0	1	0	0	1.03979	0.860642
_D:	0	133	"TEST"	12.1745	0	0.0592928	0.836287	0	50	0.02	0.02	0	1	0	1	0	0	1.02506	0.854081
_D:	0	134	"TEST"	11.6292	0	0.0573054	0.843233	0	50	0.02	0.02	0	1	0	1	0	0	1.04983	0.866867
_D:	0	135	"TEST"	11.5817	0	0.0573328	0.843034	0	50	0.02	0.02	0	1	0	1	0	0	1.04207	0.856069
_D:	0	136	"TEST"	11.1532	0	0.0562043	0.851057	0	50	0.02	0.02	0	1	0	1	0	0	1.03972	0.856892
_D:	0	137	"TEST"	11.0473	0	0.0546372	0.850072	0	50	0.03	0.02	0	1	0	1	0	0	1.05426	0.867001
