_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_cos_err_prv	%avg_cos_err_vs_prv	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	122	"TRAIN"	11.8252	380	0.0582282	0.840625	0.625979	0.214647	0	50	71.22	98.13	0	1	0	1	0	0	1.03772	0.857331
_D:	0	123	"TRAIN"	11.7436	380	0.0577622	0.841308	0.61956	0.221748	0	50	65.31	90.05	0	1	0	1	0	0	1.03459	0.854239
_D:	0	124	"TRAIN"	11.729	380	0.057712	0.84136	0.636809	0.204551	0	50	62.42	85.09	0	1	0	1	0	0	1.0384	0.861709
_D:	0	125	"TRAIN"	11.2892	380	0.0566383	0.850086	0.618331	0.231755	0	50	62.48	85.92	0	1	0	1	0	0	1.03065	0.859373
_D:	0	126	"TRAIN"	11.5363	380	0.0583745	0.847668	0.634638	0.213029	0	50	62.99	85.76	0	1	0	1	0	0	1.01749	0.850882
_D:	0	127	"TRAIN"	11.3193	380	0.0565378	0.847016	0.626698	0.220318	0	50	65.36	89.32	0	1	0	1	0	0	1.04032	0.861471
_D:	0	128	"TRAIN"	11.6506	380	0.0578993	0.843219	0.63895	0.20427	0	50	71.75	96.64	0	1	0	1	0	0	1.03151	0.85535
_D:	0	129	"TRAIN"	12.0515	380	0.0591603	0.83823	0.631337	0.206893	0	50	73.55	100.66	0	1	0	1	0	0	1.01622	0.848198
_D:	0	130	"TRAIN"	11.6167	380	0.0582511	0.844873	0.626024	0.21885	0	50	67.91	95.12	0	1	0	1	0	0	1.02945	0.852752
_D:	0	131	"TRAIN"	11.2066	380	0.0570952	0.849734	0.626999	0.222735	0	50	63.72	87.05	0	1	0	1	0	0	1.05201	0.862415
